Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
09/03/2021;Czechia;10524;265;10693939;-52.0;-2.0;-9.0;-42.0;-35.0;16.0;45.87;65.42;;
09/03/2021;Denmark;425;2;5822763;-19.0;-3.0;86.0;-40.0;-33.0;10.0;112.6;107.19;;
09/03/2021;Estonia;1308;2;1328976;-18.0;-1.0;-20.0;-35.0;-31.0;12.0;71.89;82.21;;
09/03/2021;Finland;459;3;5525292;-39.0;-8.0;2.0;-50.0;-36.0;14.0;73.09;97.6;;
09/03/2021;France;29327;359;67320216;-37.0;-1.0;9.0;-27.0;-23.0;9.0;69.52;89.77;;
09/03/2021;Germany;4252;255;83166711;-36.0;-1.0;12.0;-35.0;-24.0;11.0;88.2;88.76;;
09/03/2021;Greece;1161;39;10718565;-55.0;4.0;6.0;-50.0;-35.0;10.0;73.65;64.99;;
09/03/2021;Hungary;6494;158;9769526;-42.0;-5.0;5.0;-41.0;-36.0;14.0;54.88;79.13;;
09/03/2021;Ireland;432;0;4964440;-46.0;-1.0;-4.0;-63.0;-44.0;17.0;39.06;55.29;;
09/03/2021;Italy;13882;318;59641488;-38.0;-5.0;-16.0;-43.0;-28.0;12.0;54.35;70.26;;
09/03/2021;Latvia;194;4;1907675;-35.0;-14.0;-4.0;-46.0;-36.0;12.0;63.75;71.59;;
09/03/2021;Lithuania;216;8;2794090;-47.0;13.0;3.0;-41.0;-31.0;11.0;95.21;77.89;;
09/03/2021;Luxembourg;31;1;626108;-35.0;-2.0;-16.0;-27.0;-27.0;10.0;85.01;80.7;;
09/03/2021;Netherlands;3832;28;17407585;-38.0;1.0;18.0;-50.0;-32.0;12.0;75.42;78.76;;
